<Trace>
2526
D2 600:615-1120 [COR]
X	Y
736.6	640.663
736.8	249.934036
737	752.1687
737.2	1149.76709
737.4	504.5968
737.6	470.017
737.8	362.676941
738	72.76038
738.2	1497.99719
738.4	3889.46729
738.6	1621.33167
738.8	1184.13782
739	185.800156
739.2	597.057739
739.4	299.776031
739.6	0
739.8	264.487244
740	796.7399
740.2	1295.85449
740.4	497.723328
740.6	346.136078
740.8	347.695282
741	388.060669
741.2	428.772552
741.4	900.5117
741.6	825.8431
741.8	552.9865
742	912.4645
742.2	1435.05811
742.4	1762.33337
742.6	1891.43164
742.8	2345.14648
743	6134.335
743.2	24205.95
743.4	684613.4
743.6	2724807
743.8	3891065.25
744	1224625.25
744.2	163148.328
744.4	2784.69287
744.6	1246.6803
744.8	623.245056
745	332.3473
745.2	290.7605
745.4	539.9042
745.6	124.574394
745.8	207.593185
746	249.074768
746.2	207.1532
746.4	289.442
746.6	1361.82214
746.8	24179.2559
747	52300.13
747.2	32700.707
747.4	8966.299
747.6	612.872
747.8	1304.8479
748	2563.78516
748.2	11232.1846
748.4	202126.984
748.6	633504.7
748.8	779611.6
749	237936.891
749.2	14527.3613
749.4	1424.10669
749.6	651.00354
749.8	1057.86133
750	3254.93359
750.2	3824.62476
750.4	1627.505
750.6	406.879974
750.8	569.6421
751	1953.108
751.2	4394.63232
751.4	2034.55664
751.6	651.0635
751.8	651.074341
752	81.38537
752.2	325.536041
752.4	325.530121
752.6	1342.79541
752.8	6551.30469
753	95553.03
753.2	554387.2
753.4	772561.7
753.6	221596.391
753.8	87033.15
754	266884.563
754.2	314571
754.4	94613.52
754.6	12052.6611
754.8	122.17659
755	611.0358
755.2	285.219971
755.4	203.778763
755.6	448.424683
755.8	489.311462
756	326.287872
756.2	40.8206
756.4	449.4093
756.6	245.340088
756.8	491.097168
757	122.878075
757.2	286.958649
757.4	287.201447
757.6	82.1268
757.8	328.785248
758	164.531189
758.2	164.744263
758.4	329.91507
758.6	206.463028
758.8	289.421265
759	496.790619
759.2	82.90476
759.4	539.574951
759.6	41.5588951
759.8	291.2856
760	166.66185
760.2	333.821167
760.4	250.7386
760.6	460.371368
760.8	209.570084
761	209.880783
761.2	252.229828
761.4	294.7032
761.6	210.812775
761.8	168.898743
762	845.7398
762.2	550.5794
762.4	84.8349838
762.6	254.897186
762.8	978.6129
763	5710.399
763.2	12377.76
763.4	8335.521
763.6	2012.07056
763.8	300.1245
764	128.8207
